index,plate_id,registration_state,plate_type,violation_code,school_zone_violations,violation_borough,violation_description,manhattan_96_below_fine,all_other_fine,fines,row_num,row_pct,cum_share,school_zone_violations_binned,red_light_violations
6383461,KRY2035,NY,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,41991,0.014076112443972607,0.005295646703992115,1,0.0
6348010,KRP5233,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,42989,0.01441065937591242,0.005421505329696633,1,0.0
6338376,KRN2056,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,43989,0.014745876742585578,0.00554761617709595,1,0.0
6365225,KRU3082,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,44989,0.015081094109258737,0.005673727024495267,1,0.0
6356216,KRR7403,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,45989,0.015416311475931897,0.005799837871894584,1,0.0
6175863,KNW3344,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,46989,0.015751528842605056,0.0059259487192939,1,0.0
6167951,KNU9593,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,47989,0.016086746209278212,0.006052059566693217,1,0.0
6191847,KNZ4901,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,48989,0.01642196357595137,0.006178170414092534,1,1.0
6182392,KNX7344,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,49989,0.01675718094262453,0.006304281261491851,1,0.0
6135551,KNM8662,NY,PAS,36,1,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,50989,0.01709239830929769,0.006430392108891168,1,0.0
6122635,KNL7105,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,51989,0.01742761567597085,0.006556502956290485,1,0.0
6156286,KNS1960,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,52988,0.017762497825277335,0.006682487692842402,1,0.0
6147536,KNN8969,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,53988,0.018097715191950494,0.006808598540241719,1,0.0
6243621,KPM5851,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,54988,0.01843293255862365,0.006934709387641036,1,2.0
6232705,KPK6159,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,55988,0.01876814992529681,0.007060820235040353,1,0.0
6261419,KPT3332,NY,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,56987,0.019103032074603295,0.007186804971592271,1,1.0
6203517,KPD4026,PA,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,57987,0.019438249441276454,0.007312915818991588,1,0.0
6196096,KNZ8749,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,58987,0.019773466807949613,0.007439026666390904,1,0.0
6220738,KPH3159,NY,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,59987,0.020108684174622773,0.007565137513790221,1,0.0
6213757,KPG3325,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,60987,0.02044390154129593,0.007691248361189538,1,0.0
